1880	-0.16	290.8
		
		
		
		
1885	-0.33	292.3
		
1887	-0.36	292.3
		
		
1890	-0.35	293.7
		
		
		
		
1895	-0.22	295.2
		
		
		
1899	-0.17	295.8
1900	-0.08	296.7
		
		
1903	-0.37	294.8
		
1905	-0.26	298.2
		
		
		
1909	-0.48	299.2
1910	-0.43	299.9
		
		
		
		
1915	-0.14	301.5
		
		
		
		
1920	-0.27	303.2
1921	-0.19	301.6
		
		
		
1925	-0.22	304.9
		
1927	-0.22	305.5
		
		
1930	-0.16	306.5
		
		
		
		
1935	-0.2	308
		
		
		
		
1940	0.12	309.3
		
		
1943	0.09	307.9
		
1945	0.09	310.5
		
		
		
		
1950	-0.17	312
		
		
1953	0.08	312.7
		
1955	-0.14	314.1
		
		
		
1959	0.03	315.97
1960	-0.03	316.9
1961	0.06	317.64
1962	0.03	318.45
1963	0.05	318.99
1964	-0.2	319.62
1965	-0.11	320.5
1966	-0.06	321.38
1967	-0.02	322.16
1968	-0.08	323.04
1969	0.05	324.62
1970	0.03	324.7
1971	-0.08	326.32
1972	0.01	327.45
1973	0.16	329.68
1974	-0.07	330.18
1975	-0.01	329.4
1976	-0.1	332.05
1977	0.18	333.78
1978	0.07	335.41
1979	0.16	336.78
1980	0.26	338.68
1981	0.32	340.1
1982	0.14	341.44
1983	0.31	343.03
1984	0.16	344.58
1985	0.12	346.04
1986	0.18	347.39
1987	0.32	349.16
1988	0.39	351.56
1989	0.27	353.07
1990	0.45	354.35
1991	0.41	355.57
1992	0.22	356.38
1993	0.23	357.07
1994	0.32	358.82
1995	0.45	360.8
1996	0.33	362.59
1997	0.47	363.71
1998	0.61	366.65
1999	0.39	368.33
2000	0.40	369.52
2001	0.54	371.13
2002	0.63	373.22
2003	0.62	375.77
2004	0.54	377.49
2005	0.68	379.8
2006	0.64	381.9
2007	0.66	383.76
2008	0.54	385.59
2009	0.66	387.37
2010	0.72	389.85
2011	0.61	391.63
2012	0.65	393.82
2013	0.68	396.48
2014	0.74	398.61
2015	0.90	400.83
